userID	VidID	fracSpent	fracComp	fracPlayed	fracPaused	numPauses	avgPBR	stdPBR	numRWs	numFFs	s
2b52276bc976991d23835c102698c909c9472eb3	6	1.113013817	0.926804616	1.113058448	9.24006908463e-05	1	1	0	4	1	1
49df8d7ae65d6e7b49fc381463be60f23127011a	16	1.534129421	0.948029521	1.047896644	6.09480812641e-05	1	1.230290437	0.254336983	2	2	1
54259cb08babd2b28f63496e032c76152f8d810e	16	59.08807449	0.821330397	0.821330397	5.94431903687e-05	1	1.999933966	0.007973582	0	8	1
c0c3fff83a625edbcd61c9bdeacadda97b2b1a5d	6	0.615083765	0.996009796	0.996009796	4.92227979275e-05	1	1.625233936	0.124999781	0	0	1
91c2e902237ce1ff1bb29a76e34b7a077ffe89b0	7	0.868110942	0.993736012	1.067793829	2.73556231003e-05	1	1.245613751	0.036292725	1	0	1
ce898edb69d33dc0c634580a8e91c1fc20a0b1cd	6	2.542319516	0.815301416	2.542325684	2.59067357513e-05	1	1	0	1	1	0
0c6d70234e0aa847fae0e7a4c4c8f4df31fc4d2e	14	0.180981013	0.072106355	0.182839016	15957.39202	3	1.018049484	0.093268206	1	2	1
f1e048831a6dc047094feb8d23c662fb718044c6	2	14.18938889	0.991632378	0.991632378	14271.21262	3	1	0	0	0	1
f1e048831a6dc047094feb8d23c662fb718044c6	32	1.140336283	0.986851515	1.137446092	13511.07188	4	1	0	2	0	1
59d99aaf37dbf45b5ed46b17a0033331a991208d	2	1.515776094	0.307454726	1.512906499	13215.3276	4	1	0	0	14	1
bebe791d5bd15e26a07fd83c99457b269b844860	1	164.6044785	0.172593781	0.420347201	12210.45154	6	1	0	4	6	0
c7addec277b31656c6bff5beb358c276726f4034	7	2.05325076	0.932195423	2.564793548	11656.01253	5	1.25	0	5	0	0
6f8554415660b6b99e381b9f2a30f445c25e5059	14	1.115463608	0.902463747	1.105171343	11357.39444	5	1	0	5	0	1
93b8c6f93923f9be43e85ba6b99ff787d5bb8174	1	1.56650716	0.526006491	1.235252345	9963.887567	4	1.132146065	0.220477777	4	4	1
6f8554415660b6b99e381b9f2a30f445c25e5059	22	0.168011382	0.172353217	0.172353217	9800.524633	2	1.117728183	0.124788303	0	0	1
f1e048831a6dc047094feb8d23c662fb718044c6	21	8.8541625	0.992308903	1.15847882	9796.965795	3	1	0	3	0	0
0c6d70234e0aa847fae0e7a4c4c8f4df31fc4d2e	5	20.40715497	0.142933582	0.374822588	9748.036638	6	1.000054653	0.005227195	5	27	1
6f8554415660b6b99e381b9f2a30f445c25e5059	15	1.117471698	0.810964091	1.091490641	9672.621144	3	1	0	3	0	1
6f8554415660b6b99e381b9f2a30f445c25e5059	1	1.068881862	0.915251436	1.063981031	9454.932874	5	1	0	2	0	1
f1e048831a6dc047094feb8d23c662fb718044c6	3	9.503705128	0.995611127	1.015675585	8360.879659	3	1	0	1	0	1
f1e048831a6dc047094feb8d23c662fb718044c6	23	0.739230159	0.70736002	0.738061079	8291.109985	4	1	0	0	1	0
999c33703cb4c3852cbc066e11954ae6008de3d7	0	1.224978763	0.984261267	1.154680095	8179.828413	8	1	0	1	1	0
bebe791d5bd15e26a07fd83c99457b269b844860	8	1.325476837	0.192395477	1.248068457	8147.912721	4	1.018235947	0.093730592	7	7	1
bebe791d5bd15e26a07fd83c99457b269b844860	9	0.26966804	0.260621087	0.265832784	8041.888325	5	1.024316003	0.107548749	0	3	1
05fd03097b4cd951b3f5e8d241c66375f8187840	34	1.466884793	0.416535699	1.45103499	8000.62416	20	1	0	26	9	1
f673125f72032e47881eeb2207bfea51cbd35772	8	1.250638179	0.352441775	1.211064847	7924.398363	7	1	0	13	13	1
f1e048831a6dc047094feb8d23c662fb718044c6	0	5.581045245	0.765365991	1.114427855	7826.565503	5	1	0	5	1	0
2848a66642bed25cbc56d2d9017b324ede2ce5ae	0	3.581915051	0.391290247	0.438374533	7732.959381	5	1	0	1	0	1
f9085c189b59d034876013f594027a03261be624	24	0.101429081	0.101374637	0.101374637	7672.039535	1	1	0	0	7	1
bebe791d5bd15e26a07fd83c99457b269b844860	11	0.512172364	0.085310985	0.504213251	7299.367947	7	1	0	0	0	1
3a06c1d4cadf969114ac27d0e8743c32984ca9ff	10	1.008852998	0.991718495	0.991718495	7151.28054	3	1	0	0	0	1
6f8554415660b6b99e381b9f2a30f445c25e5059	6	1.00537133	0.995805072	0.995805072	6784.886953	2	1	0	0	0	1
f1e048831a6dc047094feb8d23c662fb718044c6	9	1.277299012	0.106639076	0.164851062	6762.697281	5	1	0	0	6	1
f1e048831a6dc047094feb8d23c662fb718044c6	4	61.84001466	0.99544453	1.040608758	6487.253167	4	1	0	1	0	1
37142f8f7b9e05b25185276d36bde1cc2be7239a	0	1435.755551	0.991992602	1.153438355	6379.878997	10	1	0	0	3	0
fc2f40a731a992eb3d2bf903f6e1111da080d404	6	0.998598446	0.996033743	0.996033743	6262.017599	2	1	0	0	0	1
59d99aaf37dbf45b5ed46b17a0033331a991208d	8	1.316125399	0.491752449	1.305162214	6202.719709	7	1	0	12	5	1
6f8554415660b6b99e381b9f2a30f445c25e5059	4	1.038429784	0.996147762	0.996147762	6067.408875	4	1	0	0	0	0
1a6f2c8545500dbf614166bc09fbee2afceb7402	49	1.488778555	0.988584007	1.48751262	6027.760002	1	1	0	0	0	0
bf1168df216c28133dbda770ff2afe838540c089	0	68.92720222	0.123698391	1.27610264	5899.401471	3	1	0	5	0	1
0fd60f9bbdba0a4f8db86011f12f66e40195d810	53	0.40303811	0.319227409	0.387051701	5870.156018	1	1	0	1	1	1
